Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
R_middletemporal,Bacterial Infections,44289,24615,19674,-0.031336083634576,-0.0470287985038309,-0.015643368765321,"-0.03 (-0.05, -0.02)",9.09636708611835e-05,0.000764094835233942,Female,0.12,Cortical,Volume of middletemporal (right hemisphere),Bacterial,**
R_paracentral,Bacterial Infections,44289,24615,19674,-0.03037548451847,-0.047340785571454,-0.0134101834654859,"-0.03 (-0.05, -0.01)",0.000449718552573681,0.00251842389441261,Female,0.813,Cortical,Volume of paracentral (right hemisphere),Bacterial,**
R_parahippocampal,Bacterial Infections,44288,24615,19673,-0.0229060124150459,-0.0409990298763013,-0.00481299495379052,"-0.02 (-0.04, -0.00)",0.0130900735935274,0.0282904144877607,Female,0.92,Cortical,Volume of parahippocampal (right hemisphere),Bacterial,**
R_parsopercularis,Bacterial Infections,44289,24615,19674,-0.0240178026830736,-0.0408348405055037,-0.00720076486064357,"-0.02 (-0.04, -0.01)",0.00512415270035091,0.0136644072009358,Female,0.489,Cortical,Volume of parsopercularis (right hemisphere),Bacterial,**
R_parsorbitalis,Bacterial Infections,44289,24615,19674,-0.0058916012418844,-0.0226161339634788,0.01083293147971,"-0.01 (-0.02, 0.01)",0.489907782998122,0.556111537457327,Female,0.101,Cortical,Volume of parsorbitalis (right hemisphere),Bacterial,
R_parstriangularis,Bacterial Infections,44289,24615,19674,-0.018552428577791,-0.0349929540528131,-0.00211190310276885,"-0.02 (-0.03, -0.00)",0.026985861389773,0.0472252574321028,Female,0.1,Cortical,Volume of parstriangularis (right hemisphere),Bacterial,**
R_pericalcarine,Bacterial Infections,44289,24615,19674,-0.00242011164141244,-0.0195696009883692,0.0147293777055443,"-0.00 (-0.02, 0.01)",0.782092470167574,0.811058857951558,Female,0.231,Cortical,Volume of pericalcarine (right hemisphere),Bacterial,
R_postcentral,Bacterial Infections,44289,24615,19674,-0.0209746832454979,-0.0380283399306393,-0.00392102656035658,"-0.02 (-0.04, -0.00)",0.0159272731176483,0.0314797868678226,Female,0.505,Cortical,Volume of postcentral (right hemisphere),Bacterial,**
R_posteriorcingulate,Bacterial Infections,44289,24615,19674,-0.0229431124647346,-0.0398215181798034,-0.0060647067496657,"-0.02 (-0.04, -0.01)",0.00771798393572053,0.0183703891925618,Female,0.021,Cortical,Volume of posteriorcingulate (right hemisphere),Bacterial,**
R_precentral,Bacterial Infections,44289,24615,19674,-0.0246204614329794,-0.0411751923966083,-0.0080657304693505,"-0.02 (-0.04, -0.01)",0.00355901432305486,0.00996524010455361,Female,0.349,Cortical,Volume of precentral (right hemisphere),Bacterial,**
R_precuneus,Bacterial Infections,44289,24615,19674,-0.0244003791576515,-0.0403886755476304,-0.00841208276767254,"-0.02 (-0.04, -0.01)",0.00277980581188246,0.00820818820585179,Female,0.583,Cortical,Volume of precuneus (right hemisphere),Bacterial,**
R_rostralanteriorcingulate,Bacterial Infections,44289,24615,19674,-0.0116536328959141,-0.0288890031351762,0.00558173734334794,"-0.01 (-0.03, 0.01)",0.185092184247411,0.232055872787798,Female,0.288,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Bacterial,
