Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
R_parsorbitalis,Gram Negative Bacterial Infections,18908,18286,622,-0.0161362308653983,-0.0927495677286059,0.0604771059978093,"-0.02 (-0.09, 0.06)",0.679734190111194,0.854413443870635,51-60,0.926,Cortical,Volume of parsorbitalis (right hemisphere),Gram Negative,
R_parstriangularis,Gram Negative Bacterial Infections,18908,18286,622,-0.0137736946213418,-0.0928485646972564,0.0653011754545728,"-0.01 (-0.09, 0.07)",0.732791854493746,0.879350225392495,51-60,0.16,Cortical,Volume of parstriangularis (right hemisphere),Gram Negative,
R_pericalcarine,Gram Negative Bacterial Infections,18908,18286,622,0.0509335831100066,-0.0266485976584942,0.128515763878507,"0.05 (-0.03, 0.13)",0.198172427286172,0.471126902604863,51-60,0.582,Cortical,Volume of pericalcarine (right hemisphere),Gram Negative,
R_postcentral,Gram Negative Bacterial Infections,18908,18286,622,-0.0633958274478329,-0.14103152610526,0.0142398712095938,"-0.06 (-0.14, 0.01)",0.109488541309058,0.336476980608323,51-60,0.599,Cortical,Volume of postcentral (right hemisphere),Gram Negative,
R_posteriorcingulate,Gram Negative Bacterial Infections,18908,18286,622,-0.0880101114161855,-0.163968146415879,-0.0120520764164918,"-0.09 (-0.16, -0.01)",0.0231525991413312,0.164996378783241,51-60,0.184,Cortical,Volume of posteriorcingulate (right hemisphere),Gram Negative,*
R_precentral,Gram Negative Bacterial Infections,18908,18286,622,-0.0408556706830103,-0.114912669572179,0.0332013282061583,"-0.04 (-0.11, 0.03)",0.279559829760713,0.529692309020298,51-60,0.993,Cortical,Volume of precentral (right hemisphere),Gram Negative,
R_precuneus,Gram Negative Bacterial Infections,18908,18286,622,-0.0363748309103094,-0.111002111554057,0.0382524497334386,"-0.04 (-0.11, 0.04)",0.33939429716032,0.56268001897632,51-60,0.542,Cortical,Volume of precuneus (right hemisphere),Gram Negative,
R_rostralanteriorcingulate,Gram Negative Bacterial Infections,18908,18286,622,-0.0407063698857397,-0.119760328704278,0.0383475889327982,"-0.04 (-0.12, 0.04)",0.312849949639122,0.548051794230355,51-60,0.897,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Gram Negative,
R_rostralmiddlefrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0581902607880206,-0.131029878269036,0.0146493566929949,"-0.06 (-0.13, 0.01)",0.117393387978995,0.35642329844225,51-60,0.627,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Gram Negative,
R_superiorfrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0550762404537008,-0.128673117105969,0.018520636198567,"-0.06 (-0.13, 0.02)",0.142437998609481,0.394443688457025,51-60,0.382,Cortical,Volume of superiorfrontal (right hemisphere),Gram Negative,
R_superiorparietal,Gram Negative Bacterial Infections,18908,18286,622,-0.0108867784558675,-0.0876483446472068,0.0658747877354719,"-0.01 (-0.09, 0.07)",0.781021945213001,0.882482386455794,51-60,0.373,Cortical,Volume of superiorparietal (right hemisphere),Gram Negative,
R_superiortemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0503328008263213,-0.124852975692168,0.0241873740395257,"-0.05 (-0.12, 0.02)",0.185554333577818,0.453651731299226,51-60,0.82,Cortical,Volume of superiortemporal (right hemisphere),Gram Negative,
R_supramarginal,Gram Negative Bacterial Infections,18908,18286,622,-0.0996236926822418,-0.175386649932774,-0.0238607354317096,"-0.10 (-0.18, -0.02)",0.00996221055205039,0.0922902417386511,51-60,0.2,Cortical,Volume of supramarginal (right hemisphere),Gram Negative,*
R_temporalpole,Gram Negative Bacterial Infections,18619,18003,616,0.0179456263333992,-0.0582926595771771,0.0941839122439754,"0.02 (-0.06, 0.09)",0.644529041967265,0.836280615122901,51-60,0.012,Cortical,Volume of grey matter in Temporal Pole (right),Gram Negative,
R_transversetemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0556615637271801,-0.13349488217334,0.0221717547189797,"-0.06 (-0.13, 0.02)",0.161010962152446,0.423041397979475,51-60,0.676,Cortical,Volume of transversetemporal (right hemisphere),Gram Negative,
Raccumb,Gram Negative Bacterial Infections,18617,18001,616,0.0368435902821492,-0.0423424910581434,0.116029671622442,"0.04 (-0.04, 0.12)",0.361786496811043,0.584424341002454,51-60,0.102,SubCortical,Volume of accumbens (right),Gram Negative,
Ramyg,Gram Negative Bacterial Infections,18617,18001,616,0.0115389871189454,-0.0672596532294078,0.0903376274672985,"0.01 (-0.07, 0.09)",0.774093544336459,0.882482386455794,51-60,0.466,SubCortical,Volume of amygdala (right),Gram Negative,
Rcaud,Gram Negative Bacterial Infections,18617,18001,616,-0.0101376373351834,-0.0851728949703267,0.0648976202999598,"-0.01 (-0.09, 0.06)",0.791152497744327,0.886090797473647,51-60,0.684,SubCortical,Volume of caudate (right),Gram Negative,
Rhippo,Gram Negative Bacterial Infections,18617,18001,616,-0.0370277877871952,-0.113880592517981,0.0398250169435903,"-0.04 (-0.11, 0.04)",0.344990410551267,0.564757128064209,51-60,0.874,SubCortical,Volume of hippocampus (right),Gram Negative,
RLatVent,Gram Negative Bacterial Infections,18908,18286,622,-0.0258426465212833,-0.085147343968314,0.0334620509257475,"-0.03 (-0.09, 0.03)",0.393043972547109,0.615199261378083,51-60,0.186,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Gram Negative,
Rpal,Gram Negative Bacterial Infections,18617,18001,616,0.0123460374902594,-0.0562653077067722,0.0809573826872909,"0.01 (-0.06, 0.08)",0.724315801445276,0.873674180502444,51-60,0.371,SubCortical,Volume of pallidum (right),Gram Negative,
Rput,Gram Negative Bacterial Infections,18617,18001,616,-0.0108454117075964,-0.0801158138384526,0.0584249904232599,"-0.01 (-0.08, 0.06)",0.758934864921654,0.882482386455794,51-60,0.605,SubCortical,Volume of putamen (right),Gram Negative,
Rthal,Gram Negative Bacterial Infections,18617,18001,616,0.000472895944225018,-0.0744027685793313,0.0753485604677813,"0.00 (-0.07, 0.08)",0.990123015188841,0.99642797451905,51-60,0.758,SubCortical,Volume of thalamus (right),Gram Negative,
