Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
R_insula,Localised Bacterial Infections,81870,52112,29758,-0.0294001651246983,-0.0424646503555225,-0.0163356798938741,"-0.03 (-0.04, -0.02)",1.03146602193194e-05,9.62701620469809e-05,Cortical,Volume of grey matter in Insular Cortex (right),Localised,**
R_isthmuscingulate,Localised Bacterial Infections,83240,52987,30253,-0.00340048476181099,-0.0166473238957975,0.00984635437217553,"-0.00 (-0.02, 0.01)",0.61487195583477,0.645615553626509,Cortical,Volume of isthmuscingulate (right hemisphere),Localised,
R_lateraloccipital,Localised Bacterial Infections,83240,52987,30253,-0.0179264609048781,-0.0304746338922311,-0.00537828791752505,"-0.02 (-0.03, -0.01)",0.00511037251487619,0.0110069561858872,Cortical,Volume of lateraloccipital (right hemisphere),Localised,**
R_lateralorbitofrontal,Localised Bacterial Infections,83240,52987,30253,-0.0180510939385624,-0.0309098581009377,-0.00519232977618711,"-0.02 (-0.03, -0.01)",0.00593482640820548,0.0124631354572315,Cortical,Volume of lateralorbitofrontal (right hemisphere),Localised,**
R_lingual,Localised Bacterial Infections,83240,52987,30253,-0.00505656548611941,-0.0187209860077222,0.00860785503548342,"-0.01 (-0.02, 0.01)",0.468268870170074,0.517025230105319,Cortical,Volume of lingual (right hemisphere),Localised,
R_medialorbitofrontal,Localised Bacterial Infections,83240,52987,30253,-0.0114927056654992,-0.0243362701136558,0.00135085878265752,"-0.01 (-0.02, 0.00)",0.0794608105432806,0.111245134760593,Cortical,Volume of medialorbitofrontal (right hemisphere),Localised,
R_middletemporal,Localised Bacterial Infections,83240,52987,30253,-0.0250285755044478,-0.0376794996366642,-0.0123776513722313,"-0.03 (-0.04, -0.01)",0.000105552510186151,0.000492578380868707,Cortical,Volume of middletemporal (right hemisphere),Localised,**
R_paracentral,Localised Bacterial Infections,83240,52987,30253,-0.0277656734994892,-0.0413506551090944,-0.0141806918898841,"-0.03 (-0.04, -0.01)",6.18270777565166e-05,0.000325950621618653,Cortical,Volume of paracentral (right hemisphere),Localised,**
R_parahippocampal,Localised Bacterial Infections,83239,52987,30252,-0.0265063483616164,-0.0405451451749939,-0.0124675515482388,"-0.03 (-0.04, -0.01)",0.000215212352818696,0.000951465138777394,Cortical,Volume of parahippocampal (right hemisphere),Localised,**
R_parsopercularis,Localised Bacterial Infections,83240,52987,30253,-0.0177550392663259,-0.0313396076105063,-0.00417047092214545,"-0.02 (-0.03, -0.00)",0.0104175281774878,0.0190233123241082,Cortical,Volume of parsopercularis (right hemisphere),Localised,**
