Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
R_middletemporal,Fungal Infections,34331,31481,2850,0.00782226778304778,-0.026506462005809,0.0421509975719046,"0.01 (-0.03, 0.04)",0.655152130954846,0.927170000148139,61-70,0.956,Cortical,Volume of middletemporal (right hemisphere),Fungal,
R_paracentral,Fungal Infections,34331,31481,2850,0.00312262348881875,-0.0336834845708631,0.0399287315485006,"0.00 (-0.03, 0.04)",0.867930618099788,0.949426973148337,61-70,0.601,Cortical,Volume of paracentral (right hemisphere),Fungal,
R_parahippocampal,Fungal Infections,34331,31481,2850,0.0160905761045025,-0.0220932907504701,0.0542744429594751,"0.02 (-0.02, 0.05)",0.408836752315498,0.903744399855312,61-70,0.791,Cortical,Volume of parahippocampal (right hemisphere),Fungal,
R_parsopercularis,Fungal Infections,34331,31481,2850,0.0057943573456729,-0.03116261993323,0.0427513346245758,"0.01 (-0.03, 0.04)",0.758611685984485,0.936369615317816,61-70,0.996,Cortical,Volume of parsopercularis (right hemisphere),Fungal,
R_parsorbitalis,Fungal Infections,34331,31481,2850,0.0192499770732926,-0.0165507479260813,0.0550507020726665,"0.02 (-0.02, 0.06)",0.291933455585052,0.838352595462177,61-70,0.227,Cortical,Volume of parsorbitalis (right hemisphere),Fungal,
R_parstriangularis,Fungal Infections,34331,31481,2850,0.0274798222278077,-0.00882584815894762,0.0637854926145631,"0.03 (-0.01, 0.06)",0.137936909401906,0.73408724467377,61-70,0.73,Cortical,Volume of parstriangularis (right hemisphere),Fungal,
R_pericalcarine,Fungal Infections,34331,31481,2850,0.00826452296723655,-0.0289504675389738,0.0454795134734469,"0.01 (-0.03, 0.05)",0.663365883032907,0.927170000148139,61-70,0.356,Cortical,Volume of pericalcarine (right hemisphere),Fungal,
R_postcentral,Fungal Infections,34331,31481,2850,0.0207349840175194,-0.0156886358526969,0.0571586038877357,"0.02 (-0.02, 0.06)",0.264518148431295,0.838352595462177,61-70,0.458,Cortical,Volume of postcentral (right hemisphere),Fungal,
R_posteriorcingulate,Fungal Infections,34331,31481,2850,0.00777720930823423,-0.0283506871769202,0.0439051057933887,"0.01 (-0.03, 0.04)",0.673075835883229,0.927170000148139,61-70,0.295,Cortical,Volume of posteriorcingulate (right hemisphere),Fungal,
R_precentral,Fungal Infections,34331,31481,2850,0.010248004054633,-0.0252605736140324,0.0457565817232984,"0.01 (-0.03, 0.05)",0.571616273288805,0.927170000148139,61-70,0.471,Cortical,Volume of precentral (right hemisphere),Fungal,
R_precuneus,Fungal Infections,34331,31481,2850,0.0165611931829592,-0.0182265475868148,0.0513489339527332,"0.02 (-0.02, 0.05)",0.350774217632554,0.866618655327487,61-70,0.984,Cortical,Volume of precuneus (right hemisphere),Fungal,
R_rostralanteriorcingulate,Fungal Infections,34331,31481,2850,-0.00701482486815343,-0.0438095080288037,0.0297798582924968,"-0.01 (-0.04, 0.03)",0.708647710383549,0.927170000148139,61-70,0.912,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Fungal,
R_rostralmiddlefrontal,Fungal Infections,34331,31481,2850,0.0302656057437876,-0.00404993683182304,0.0645811483193982,"0.03 (-0.00, 0.06)",0.0838701721673174,0.672647336345803,61-70,0.854,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Fungal,
R_superiorfrontal,Fungal Infections,34331,31481,2850,0.0505613206849407,0.016147133312158,0.0849755080577235,"0.05 (0.02, 0.08)",0.00398324581796513,0.380989001276649,61-70,0.524,Cortical,Volume of superiorfrontal (right hemisphere),Fungal,*
R_superiorparietal,Fungal Infections,34331,31481,2850,-0.00399936978634853,-0.0404913368656045,0.0324925972929074,"-0.00 (-0.04, 0.03)",0.829915497414465,0.949426973148337,61-70,0.646,Cortical,Volume of superiorparietal (right hemisphere),Fungal,
R_superiortemporal,Fungal Infections,34331,31481,2850,0.0113608237990742,-0.0240466227607501,0.0467682703588984,"0.01 (-0.02, 0.05)",0.529421526352855,0.927170000148139,61-70,0.947,Cortical,Volume of superiortemporal (right hemisphere),Fungal,
R_supramarginal,Fungal Infections,34331,31481,2850,0.0316612339647807,-0.00407670181380659,0.0673991697433679,"0.03 (-0.00, 0.07)",0.0824936254952044,0.672647336345803,61-70,0.87,Cortical,Volume of supramarginal (right hemisphere),Fungal,
R_temporalpole,Fungal Infections,33568,30775,2793,0.00500586903950289,-0.0305224605506841,0.0405341986296899,"0.01 (-0.03, 0.04)",0.782423128600063,0.940639724336615,61-70,0.69,Cortical,Volume of grey matter in Temporal Pole (right),Fungal,
R_transversetemporal,Fungal Infections,34331,31481,2850,0.0111369494414016,-0.0260849429421594,0.0483588418249626,"0.01 (-0.03, 0.05)",0.5575768112814,0.927170000148139,61-70,0.121,Cortical,Volume of transversetemporal (right hemisphere),Fungal,
Raccumb,Fungal Infections,33562,30769,2793,-0.00737627610119588,-0.0460077231963346,0.0312551709939429,"-0.01 (-0.05, 0.03)",0.708221885029362,0.927170000148139,61-70,0.246,SubCortical,Volume of accumbens (right),Fungal,
Ramyg,Fungal Infections,33562,30769,2793,0.0273582882991136,-0.0101336158060985,0.0648501924043257,"0.03 (-0.01, 0.06)",0.15265154214702,0.751904889645402,61-70,0.059,SubCortical,Volume of amygdala (right),Fungal,
Rcaud,Fungal Infections,33562,30769,2793,-0.0196437547843498,-0.0558277173856822,0.0165402078169827,"-0.02 (-0.06, 0.02)",0.28730249493009,0.838352595462177,61-70,0.86,SubCortical,Volume of caudate (right),Fungal,
Rhippo,Fungal Infections,33562,30769,2793,-0.00309457081055143,-0.0402909572317956,0.0341018156106927,"-0.00 (-0.04, 0.03)",0.870467446474371,0.949426973148337,61-70,0.469,SubCortical,Volume of hippocampus (right),Fungal,
RLatVent,Fungal Infections,34331,31481,2850,-0.0166691962851203,-0.0508663551971208,0.0175279626268802,"-0.02 (-0.05, 0.02)",0.339379062016524,0.855298563321826,61-70,0.864,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Fungal,
Rpal,Fungal Infections,33562,30769,2793,-0.0146640229788992,-0.0508271197764588,0.0214990738186605,"-0.01 (-0.05, 0.02)",0.426742477514022,0.910291196093996,61-70,0.605,SubCortical,Volume of pallidum (right),Fungal,
Rput,Fungal Infections,33562,30769,2793,0.0219985052108686,-0.011558771753717,0.0555557821754543,"0.02 (-0.01, 0.06)",0.19883518053196,0.782913523344592,61-70,0.737,SubCortical,Volume of putamen (right),Fungal,
Rthal,Fungal Infections,33562,30769,2793,0.000331361496147079,-0.0341942952567115,0.0348570182490056,"0.00 (-0.03, 0.03)",0.984991576823407,0.984991576823407,61-70,0.894,SubCortical,Volume of thalamus (right),Fungal,
