Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_parsopercularis,Bacterial Infections without Sepsis,30001,15926,14075,-0.0103100027124892,-0.0313033493402554,0.010683343915277,"-0.01 (-0.03, 0.01)",0.335759544406596,0.486272443623345,71-80,0.744,Cortical,Volume of parsopercularis (left hemisphere),No-Sepsis,
L_parsorbitalis,Bacterial Infections without Sepsis,30001,15926,14075,-0.00512585064831823,-0.0263320738874077,0.0160803725907712,"-0.01 (-0.03, 0.02)",0.635666846021397,0.758370750598276,71-80,0.664,Cortical,Volume of parsorbitalis (left hemisphere),No-Sepsis,
L_parstriangularis,Bacterial Infections without Sepsis,30001,15926,14075,-0.0223969666138531,-0.0431357492651281,-0.00165818396257801,"-0.02 (-0.04, -0.00)",0.0342884583582704,0.122069865676136,71-80,0.124,Cortical,Volume of parstriangularis (left hemisphere),No-Sepsis,*
L_pericalcarine,Bacterial Infections without Sepsis,30001,15926,14075,0.0043992532476399,-0.0174828774970543,0.0262813839923341,"0.00 (-0.02, 0.03)",0.693544484486239,0.804491725543866,71-80,0.898,Cortical,Volume of pericalcarine (left hemisphere),No-Sepsis,
L_postcentral,Bacterial Infections without Sepsis,30001,15926,14075,-0.0146642650948416,-0.0357281331676951,0.00639960297801181,"-0.01 (-0.04, 0.01)",0.172406403506005,0.33027408054425,71-80,0.749,Cortical,Volume of postcentral (left hemisphere),No-Sepsis,
L_posteriorcingulate,Bacterial Infections without Sepsis,30001,15926,14075,-0.00939177070914523,-0.0312905548391865,0.0125070134208961,"-0.01 (-0.03, 0.01)",0.40057473081012,0.539811936706686,71-80,0.189,Cortical,Volume of posteriorcingulate (left hemisphere),No-Sepsis,
L_precentral,Bacterial Infections without Sepsis,30001,15926,14075,-0.0373316100572018,-0.0582539357396036,-0.0164092843747999,"-0.04 (-0.06, -0.02)",0.000470680236976243,0.0112845664665599,71-80,0.539,Cortical,Volume of precentral (left hemisphere),No-Sepsis,**
L_precuneus,Bacterial Infections without Sepsis,30001,15926,14075,-0.0214275071265666,-0.0420001559283458,-0.000854858324787485,"-0.02 (-0.04, -0.00)",0.0412109740709818,0.129814568323593,71-80,0.464,Cortical,Volume of precuneus (left hemisphere),No-Sepsis,*
L_rostralanteriorcingulate,Bacterial Infections without Sepsis,30001,15926,14075,-0.0123053704684924,-0.0329257939087892,0.00831505297180434,"-0.01 (-0.03, 0.01)",0.242143758813675,0.406801514806974,71-80,0.837,Cortical,Volume of rostralanteriorcingulate (left hemisphere),No-Sepsis,
L_rostralmiddlefrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.00187122909640798,-0.02167919227428,0.0179367340814641,"-0.00 (-0.02, 0.02)",0.853102923965241,0.896383132216713,71-80,0.09,Cortical,Volume of rostralmiddlefrontal (left hemisphere),No-Sepsis,
L_superiorfrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0302850235088609,-0.0503604222918231,-0.0102096247258986,"-0.03 (-0.05, -0.01)",0.0031104100034944,0.0270283903751927,71-80,0.434,Cortical,Volume of superiorfrontal (left hemisphere),No-Sepsis,**
L_superiorparietal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0235505857758756,-0.0447728122636319,-0.0023283592881192,"-0.02 (-0.04, -0.00)",0.0296314754590362,0.114878951010417,71-80,0.908,Cortical,Volume of superiorparietal (left hemisphere),No-Sepsis,*
L_superiortemporal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0133881550008073,-0.0337181214083911,0.00694181140677657,"-0.01 (-0.03, 0.01)",0.19679253926945,0.359360289100734,71-80,0.317,Cortical,Volume of superiortemporal (left hemisphere),No-Sepsis,
L_supramarginal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0331383661335081,-0.053329531583164,-0.0129472006838522,"-0.03 (-0.05, -0.01)",0.00129728758842251,0.0157462943816337,71-80,0.14,Cortical,Volume of supramarginal (left hemisphere),No-Sepsis,**
L_temporalpole,Bacterial Infections without Sepsis,29683,15781,13902,-0.0410817526207202,-0.0613440641150423,-0.020819441126398,"-0.04 (-0.06, -0.02)",7.08483305645161e-05,0.00297562988370968,71-80,0.271,Cortical,Volume of grey matter in Temporal Pole (left),No-Sepsis,**
L_transversetemporal,Bacterial Infections without Sepsis,30001,15926,14075,-0.00306151877158673,-0.0250144065813196,0.0188913690381461,"-0.00 (-0.03, 0.02)",0.784590026687647,0.859637768370813,71-80,0.68,Cortical,Volume of transversetemporal (left hemisphere),No-Sepsis,
Laccumb,Bacterial Infections without Sepsis,29679,15778,13901,-0.0510947267418025,-0.0733152711435295,-0.0288741823400755,"-0.05 (-0.07, -0.03)",6.60029500535072e-06,0.00083163717067419,71-80,0.921,SubCortical,Volume of accumbens (left),No-Sepsis,**
